,EN_US,EN_UK,RU_RU
Unknown,Something is wrong with the server. Try again later,,
CannotResolveDestinationHost,Cannot Resolve Destination Host,,
RequestTimeout,Request Timeout,,
Success,Success,,
GameCredentialsInvalid,Game Credentials Invalid,,
BasicAccessTokenInvalid,Basic Access Token Invalid,,
BasicAccessTokenExpired,Basic Access Token Expired,,
DMarketCredentialsInvalid,DMarket login or password is not correct,,
DMarketTokenInvalid,DMarket Token Invalid,,
DMarketTokenExpired,DMarket Token Expired,,
EmptyBasicAccessToken,Empty Basic Access Token,,
EmptyDMarketAccessToken,Empty DMarket Access Token,,
BasicRefreshTokenExpired,Basic Refresh Token Expired,,
BasicRefreshTokenInvalid,DMarket Refresh Token Invalid,,
DmarketRefreshTokenInvalid,Dmarket Refresh Token Invalid,,
DmarketRefreshTokenExpired,Dmarket Refresh Token Expired,,
PasswordNotEnoughStrong,"Your password must be at least 10 characters long, must contain at least 1 uppercase and 1 lowercase character, must contain at least 1 digit",,
EmailIsInvalid,EmailIs Invalid,,
EmptyGameUserId,Empty Game User Id,,
EmptyDMarketCredentials,Empty DMarket Credentials,,
DMarketLoginAlreadyUsed,DMarket login (email) already used by existing user,,
DMarketAccountNotVerified,DMarket Account Not Verified,,
EmptyAssetId,Empty AssetId,,
EmptyClassId,Empty ClassId,,
EmptyAssetClass,Empty Asset Class,,
InvalidClassId,Invalid ClassId,,
TokenMismatch,Token Mismatch,,
AssetAlreadyLocked,Asset Already Locked,,
MiningLimitExceeded,Mining limit exceeded,,
AssetNotInMarket,Asset Not In Market,,
AssetAlreadyInMarket,Asset Already In Market,,
AssetNotFound,Asset Not Found,,
ClassNotFound,Class Not Found,,
SellOfferNotFound,SellOffer Not Found,,
AggregatedClassNotFound,Aggregated Class Not Found,,
AssetAlreadyOnSale,Asset Already On Sale,,
NotEnoughMoney,Not Enough Money,,
OwnProduct,Trying to buy own sell offer,,
PriceCannotBeZero,Price of sell offer cannot be zero,,
SellOfferAlreadyCanceled,SellOffer Already Canceled,,
SellOfferClosed,SellOffer Closed,,
EmptySellOfferId,Empty SellOfferId,,
InventoryItemNotFound,Inventory Item Not Found,,
Internal,Internal,,
EmptyLogin,Login cannot be empty,,
EmptyPassword,Password cannot be empty,,
EmptyEmail,Email cannot be empty,,
WrongEmailPattern,Email is not exist,,
PasswordsAreNotEqual,Passwords are not equal,,